Local Route,Light Rail,Peak Service,Rapid Route,School,Other
2453,2544,0,4521,0,14
13929,8144,209,15109,5254,63
13366,9859,357,17289,2837,71
1633,2026,0,3206,0,18
2506,4139,0,6115,0,15
2947,4949,0,6182,0,17
2693,5301,0,7276,0,31
4165,6135,0,8411,0,14
12206,7602,223,13638,3631,39
15744,10793,420,21636,1162,0
14100,10587,362,21046,0,0
13507,8622,196,15511,4108,71
2534,4020,0,5720,0,19
3516,5607,0,7747,0,22
15786,9942,302,17728,5207,59
1353,1671,0,2504,0,12
3998,2298,106,5544,97,1
8635,5435,137,10678,3290,3
12914,8289,216,14440,4420,42
3084,4630,0,6502,0,30
18055,10993,417,23455,5830,0
11554,9883,225,15609,0,67
19447,12102,472,26048,5656,0
11979,9532,259,15004,0,76
16823,9430,340,17491,5870,93
17315,11245,356,20639,4842,73
15520,10326,317,18804,4726,66
13821,8648,209,15268,4045,59
13860,10799,417,22073,0,0
13835,10550,455,19862,0,1
17106,11542,373,20971,5703,72
9081,7982,176,12660,0,52
20387,11609,499,26610,6766,1
1856,2895,0,4146,0,35
18224,11833,469,24440,5626,0
12663,6651,143,12389,5514,50
2091,3086,0,4440,0,17
2691,1217,20,2926,0,27
13602,8231,262,15038,4737,65
16467,11024,362,19855,4996,76
14689,9787,245,17261,4652,78
3845,6139,0,8120,0,20
3635,5750,0,8070,0,11
13656,9160,348,16289,4443,71
16337,10720,385,20215,5432,69
16511,9238,315,17184,6441,74
2713,4356,0,6532,0,3
14025,10434,421,20592,0,0
730,660,0,1393,0,12
16818,9674,315,17926,5465,90
2006,3196,0,4803,0,7
2913,4271,0,6681,0,4
15767,8983,333,16782,3577,51
1865,2403,0,3787,0,9
11172,8393,285,14440,0,55
2958,5864,0,7136,0,9
6629,5009,137,9443,0,3
12510,6966,134,12570,5326,69
14074,8797,238,15608,2913,63
2589,1082,24,2718,0,23
15801,10513,376,18686,4865,63
16283,10969,407,20143,4696,81
2876,4782,0,6061,0,18
16131,11455,255,18920,5366,118
12742,8300,162,14332,4422,65
15893,10650,317,18928,4526,77
13637,8032,266,14649,4795,63
2239,2842,0,4541,0,16
19198,12750,456,25968,6037,1
3258,5942,0,7065,0,23
5306,7540,0,8618,4,0
7908,3986,89,8407,3767,1
11074,6058,153,11305,4574,42
15170,10810,362,18459,3042,66
13657,7540,230,14231,4841,59
15536,10275,386,18284,4902,61
